pr_number,repository,title,author,created_at,merged_at,closed_at,state,is_draft,days_open,has_copilot_review,month_year,reviewer_count,copilot_review_count,reviewers,merged_by,additions,deletions,changed_files,commit_count,comment_count,review_decision,labels,base_branch,head_branch,first_response_hours
101,acme-corp/web-app,Add user authentication flow,agarcia,2025-08-03T10:15:00Z,2025-08-10T14:30:00Z,2025-08-10T14:30:00Z,MERGED,False,7.18,False,2025-08,2,0,mchen; sdavis,sdavis,145,30,2,2,10,APPROVED,"feature, backend",main,feature/pr-101,51.18
102,acme-corp/web-app,Fix login redirect bug,tbrown,2025-08-05T09:00:00Z,2025-08-10T11:00:00Z,2025-08-10T11:00:00Z,MERGED,False,5.08,True,2025-08,3,1,mchen; agarcia; jsmith,mchen,34,18,1,4,11,APPROVED,"feature, backend",develop,feature/pr-102,31.87
103,acme-corp/api-service,Update rate limiting middleware,kwilson,2025-08-07T14:00:00Z,2025-08-15T16:00:00Z,2025-08-15T16:00:00Z,MERGED,False,8.08,False,2025-08,1,0,tbrown,tbrown,434,5,6,7,5,APPROVED,enhancement,main,feature/pr-103,20.37
104,acme-corp/api-service,Add caching layer for user profiles,agarcia,2025-08-12T08:30:00Z,2025-08-14T10:00:00Z,2025-08-14T10:00:00Z,MERGED,False,2.06,True,2025-08,2,1,mchen; rpatel,mchen,50,29,2,5,12,APPROVED,infra,main,feature/pr-104,1.34
105,acme-corp/web-app,Refactor dashboard components,agarcia,2025-08-15T11:00:00Z,2025-08-25T09:00:00Z,2025-08-25T09:00:00Z,MERGED,False,9.92,False,2025-08,2,0,rpatel; mchen,mchen,444,187,19,4,11,APPROVED,enhancement,main,feature/pr-105,5.47
106,acme-corp/mobile-app,Implement push notifications,agarcia,2025-08-18T13:00:00Z,2025-08-22T17:00:00Z,2025-08-22T17:00:00Z,MERGED,False,4.17,True,2025-08,4,2,jsmith; kwilson; mchen; rpatel,mchen,63,25,1,6,5,APPROVED,bugfix,release/v2,feature/pr-106,8.78
107,acme-corp/infra,Upgrade Kubernetes to 1.28,agarcia,2025-08-20T10:00:00Z,2025-08-28T15:00:00Z,2025-08-28T15:00:00Z,MERGED,False,8.21,False,2025-08,1,0,tbrown,tbrown,293,64,3,8,6,APPROVED,"feature, backend",main,feature/pr-107,19.8
201,acme-corp/web-app,Add dark mode support,rpatel,2025-09-02T09:00:00Z,2025-09-16T11:00:00Z,2025-09-16T11:00:00Z,MERGED,False,14.08,False,2025-09,2,0,agarcia; mchen,agarcia,440,18,11,7,4,APPROVED,docs,release/v2,feature/pr-201,5.23
202,acme-corp/web-app,Fix accessibility issues in nav,rpatel,2025-09-03T10:00:00Z,2025-09-07T14:00:00Z,2025-09-07T14:00:00Z,MERGED,False,4.17,True,2025-09,3,1,kwilson; jsmith; tbrown,jsmith,63,11,2,3,3,APPROVED,"feature, backend",main,feature/pr-202,29.95
203,acme-corp/api-service,Add GraphQL subscriptions,tbrown,2025-09-05T08:00:00Z,2025-09-19T16:00:00Z,2025-09-19T16:00:00Z,MERGED,False,14.33,False,2025-09,2,0,sdavis; rpatel,rpatel,132,19,5,8,1,APPROVED,bug,main,feature/pr-203,54.54
204,acme-corp/api-service,Optimize database queries,mchen,2025-09-08T11:00:00Z,2025-09-12T09:00:00Z,2025-09-12T09:00:00Z,MERGED,False,3.92,True,2025-09,2,1,agarcia; jsmith,jsmith,13,5,2,8,8,APPROVED,"feature, backend",main,feature/pr-204,9.84
205,acme-corp/mobile-app,Add biometric authentication,agarcia,2025-09-10T14:00:00Z,2025-09-24T10:00:00Z,2025-09-24T10:00:00Z,MERGED,False,13.83,False,2025-09,3,0,sdavis; tbrown; ljohnson,ljohnson,194,16,5,7,2,APPROVED,bugfix,main,feature/pr-205,32.94
206,acme-corp/mobile-app,Fix crash on image upload,mchen,2025-09-12T09:30:00Z,2025-09-15T11:00:00Z,2025-09-15T11:00:00Z,MERGED,False,3.06,True,2025-09,2,1,sdavis; kwilson,kwilson,69,40,1,3,5,APPROVED,"feature, backend",main,feature/pr-206,22.52
207,acme-corp/infra,Add Terraform modules for RDS,jsmith,2025-09-15T10:00:00Z,2025-09-28T14:00:00Z,2025-09-28T14:00:00Z,MERGED,False,13.17,False,2025-09,1,0,tbrown,tbrown,270,6,2,6,12,APPROVED,,main,feature/pr-207,22.49
